Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612771,11-01-2026,VEERABHADRESHWARA P S,825,HANUMANTHAPPA D,TV  STATION  - 1
P252612772,11-01-2026,CHINNU PROVISION STORES,671,HANUMANTHAPPA D,TV  STATION  - 1
P252612773,11-01-2026,GURU MAHANTHESH PS,947,HANUMANTHAPPA D,TV  STATION  - 1
P252612774,11-01-2026,NAVAMI STORES NEAR SUNIL P S,718,HANUMANTHAPPA D,TV  STATION  - 1
P252612775,11-01-2026,YASH PROVISION STORE,671,HANUMANTHAPPA D,TV  STATION  - 1
P252612776,11-01-2026,SINCHANA P/S,884,HANUMANTHAPPA D,TV  STATION  - 1
P252612777,11-01-2026,BABU RICE CORNER,755,HANUMANTHAPPA D,TV  STATION  - 1
P252612778,11-01-2026,LAKSHMI PRO STORE,2284,HANUMANTHAPPA D,TV  STATION  - 1
P252612779,11-01-2026,MY DAY CAKE,1007,HANUMANTHAPPA D,TV  STATION  - 1
P252612780,11-01-2026,SRI SAI G/S,239,HANUMANTHAPPA D,TV  STATION  - 1
P252612781,11-01-2026,PATEL KIRANI STORE,1409,HANUMANTHAPPA D,TV  STATION  - 1
P252612782,11-01-2026,B.B JHAN P/S,1125,HANUMANTHAPPA D,TV  STATION  - 1
P252612783,11-01-2026,BATHISIDDESHWAR. P/S,1261,HANUMANTHAPPA D,TV  STATION  - 1
P252612784,11-01-2026,LAKSHMI VENKATESHWARA P/S,879,HANUMANTHAPPA D,TV  STATION  - 1
P252612785,11-01-2026,SHIVA STORES,1862,HANUMANTHAPPA D,TV  STATION  - 1
P252612786,11-01-2026,VENKATESHWARA SWEET BEKARY,1711,HANUMANTHAPPA D,TV  STATION  - 1
P252612787,11-01-2026,Manju nath Provision Store,955,HANUMANTHAPPA D,TV  STATION  - 1
P252612788,11-01-2026,SAJJAN SUPAR MART,2544,HANUMANTHAPPA D,TV  STATION  - 1
P252612789,11-01-2026,RANGANATH.BEKARY,720,HANUMANTHAPPA D,TV  STATION  - 1
P252612836,12-01-2026,SRI MARALUSIDDESHWATRA  P/S (SHAMNUR),625,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612837,12-01-2026,S MART,905,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612838,12-01-2026,VENKATESHWARA PRO STORE,1108,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612839,12-01-2026,NANDI  SUPPER MARKET (G),1442,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612840,12-01-2026,BENGALURU BAKERY,1801,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612841,12-01-2026,VARSHA FANCY STORE,925,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612842,12-01-2026,SRI THIPPESWAMY P/S,2032,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612843,12-01-2026,SRI RAMA XEROX,1027,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612844,12-01-2026,RAGVENDRA BEEDA STALL,991,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612845,12-01-2026,SRI RAGHAVENDRA P/S,474,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612846,12-01-2026,AMARESHWARA PR ST,510,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612847,12-01-2026,SRI RAM BAKERY  SHEETS (shamanur),5749,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612848,12-01-2026,LAKSHMI VENKATESHWARA BAKERY,1178,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612849,12-01-2026,SURYA  BAKARY(SHAMNUR),2027,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612850,12-01-2026,KUSUMA ENTERPRISES (G),1151,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612851,12-01-2026,GANESHA ENTERPRISES,11200,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612852,12-01-2026,SHAMANUR SHOPPE (G),1444,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612853,12-01-2026,KALLESHWARA JUIES STALL,1137,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612854,12-01-2026,SIDDESHWRA  P/S,921,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612855,12-01-2026,ANJANEYA BAKERY SHAMANUR,5520,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612856,12-01-2026,SADHANA   G/S  SHAMNOOR,996,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612857,12-01-2026,SRI MANIKANTA IYYANGAR BAKERY,1434,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612858,12-01-2026,GANESH PR ST,8245,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612859,12-01-2026,PRATHIKSHA CAKE HOUSE,1782,HANUMANTHAPPA D,SHAMNOOR  ROAD
P252612901,13-01-2026,"A, N, MANAJUNATHA P/S",1910,HANUMANTHAPPA D,MCC  A  BLOCK
P252612902,13-01-2026,PRIME DRY FRUITS,961,HANUMANTHAPPA D,MCC  A  BLOCK
P252612903,13-01-2026,ATHARVA FOOD MARKET,1201,HANUMANTHAPPA D,MCC  A  BLOCK
P252612904,13-01-2026,NANDHINI MILCK PARLOUR,1081,HANUMANTHAPPA D,MCC  A  BLOCK
P252612905,13-01-2026,KANAKA  P/S,2801,HANUMANTHAPPA D,MCC  A  BLOCK
P252612906,13-01-2026,JAGDAMBA G/S,583,HANUMANTHAPPA D,MCC  A  BLOCK
P252612907,13-01-2026,Y A PRASHANTH P/S,806,HANUMANTHAPPA D,MCC  A  BLOCK
P252612908,13-01-2026,SRI SHAKTHI VASTU BANDARA (G),1165,HANUMANTHAPPA D,MCC  A  BLOCK
P252612909,13-01-2026,G S B PR ST,528,HANUMANTHAPPA D,MCC  A  BLOCK
P252612910,13-01-2026,RAICHOTI VEERABHADRESHWARA P/S,998,HANUMANTHAPPA D,MCC  A  BLOCK
P252612911,13-01-2026,SRI LAKSHMIRANGANATHA P/S,1037,HANUMANTHAPPA D,MCC  A  BLOCK
P252612912,13-01-2026,NANJUNDESHWARA   P/S,673,HANUMANTHAPPA D,MCC  A  BLOCK
P252612913,13-01-2026,MAHALAKSHMI P/S,591,HANUMANTHAPPA D,MCC  A  BLOCK
P252612914,13-01-2026,SHANTHALA BEKARY,875,HANUMANTHAPPA D,MCC  A  BLOCK
P252612915,13-01-2026,SRI MAHALAKSHMI DAILY NEEDS,457,HANUMANTHAPPA D,MCC  A  BLOCK
P252612916,13-01-2026,RAGAVENDRA P/S (PRANESH),1604,HANUMANTHAPPA D,MCC  A  BLOCK
P252612917,13-01-2026,SAI CAKE PALACE,1204,HANUMANTHAPPA D,MCC  A  BLOCK
P252612918,13-01-2026,NEW MANJUNATH P/S,769,HANUMANTHAPPA D,MCC  A  BLOCK
P252612563,05-01-2026,VINAYAKA XEROX,682,KOTRESH,VIDHYA  NAGAR 
P252612564,05-01-2026,SRI RANGA PROV ST DENTAL ROAD,3798,KOTRESH,VIDHYA  NAGAR 
P252612565,05-01-2026,VISHWA BANDU STORE 2ND,589,KOTRESH,VIDHYA  NAGAR 
P252612566,05-01-2026,M  S  STORE,619,KOTRESH,VIDHYA  NAGAR 
P252612567,05-01-2026,PRAKASH PROV STORE,568,KOTRESH,VIDHYA  NAGAR 
P252612568,05-01-2026,CHAITRA PR ST,4738,KOTRESH,VIDHYA  NAGAR 
P252612569,05-01-2026,S M BAKERY,4259,KOTRESH,VIDHYA  NAGAR 
P252612570,05-01-2026,VISHWAS P S,2007,KOTRESH,VIDHYA  NAGAR 
P252612571,05-01-2026,MARULASIDDESHWARA P S,1481,KOTRESH,VIDHYA  NAGAR 
P252612572,05-01-2026,NAMANA CONDIMENTS,991,KOTRESH,VIDHYA  NAGAR 
P252612573,05-01-2026,SHIVA SHAKTI SPICES,6869,KOTRESH,VIDHYA  NAGAR 
P252612574,05-01-2026,GIRIJA PROV ST,854,KOTRESH,VIDHYA  NAGAR 
P252612595,06-01-2026,SANJAY RICE CORNER,1293,KOTRESH,KTJ  NAGAR 
P252612596,06-01-2026,RAJU GENARAL STORES,934,KOTRESH,KTJ  NAGAR 
P252612597,06-01-2026,MANJUNATHA ST KTJ,851,KOTRESH,KTJ  NAGAR 
P252612598,06-01-2026,siddaganga cake palace,1764,KOTRESH,KTJ  NAGAR 
P252612599,06-01-2026,SRINIDHI VEGITABLE,3522,KOTRESH,KTJ  NAGAR 
P252612600,06-01-2026,AJAY PRO STORE,521,KOTRESH,KTJ  NAGAR 
P252612601,06-01-2026,THIRUMALA PR ST NEAR SOUNDARYA,315,KOTRESH,KTJ  NAGAR 
P252612602,06-01-2026,H. R. PAKRUDDIN VEGETEBLE,670,KOTRESH,KTJ  NAGAR 
P252612603,06-01-2026,SRINIVASA PS NEAR RAJALAXMI,1713,KOTRESH,KTJ  NAGAR 
P252612604,06-01-2026,KARIBASAVESHWARA PR ST IIM 16 CR,1012,KOTRESH,KTJ  NAGAR 
P252612605,06-01-2026,RANGANATHA PRO STORE,583,KOTRESH,KTJ  NAGAR 
P252612606,06-01-2026,SHIVA PRO STORE,979,KOTRESH,KTJ  NAGAR 
P252612607,06-01-2026,HULIKAL VEERABHADRESHARA STORE,1667,KOTRESH,KTJ  NAGAR 
P252612608,06-01-2026,SRINIVAS  P/S,10515,KOTRESH,KTJ  NAGAR 
P252612654,07-01-2026,BASAVASHRI PRO ST,1630,KOTRESH,KSRTC  -1
P252612655,07-01-2026,E VIDYASHREE BAKERY BEHIND KSRTC,1454,KOTRESH,KSRTC  -1
P252612656,07-01-2026,MARALUSIDDESHWARA PS BEHIND KSRTC,1423,KOTRESH,KSRTC  -1
P252612657,07-01-2026,SRI  SAI  P/S,1987,KOTRESH,KSRTC  -1
P252612658,07-01-2026,RANGANATH PR ST,1458,KOTRESH,KSRTC  -1
P252612659,07-01-2026,SRI ANJENEYYA  VEGITABLES,1881,KOTRESH,KSRTC  -1
P252612660,07-01-2026,SNEHA PR ST,1001,KOTRESH,KSRTC  -1
P252612661,07-01-2026,SRI VINAYAKA P/S A B S,742,KOTRESH,KSRTC  -1
P252612662,07-01-2026,VAISHNAVI  P/S,2315,KOTRESH,KSRTC  -1
P252612663,07-01-2026,KARIBASAVESHWARA KIRANI,387,KOTRESH,KSRTC  -1
P252612664,07-01-2026,SHETTAR ANGADI,1997,KOTRESH,KSRTC  -1
P252612665,07-01-2026,BASAVARAJAPPA   P/S,647,KOTRESH,KSRTC  -1
P252612666,07-01-2026,POORNIMA  PRO STORE,813,KOTRESH,KSRTC  -1
P252612667,07-01-2026,SRI  GURU  BASAVESHWARA  P/S,1246,KOTRESH,KSRTC  -1
P252612668,07-01-2026,VINAYAKA PROVISION STORE,757,KOTRESH,KSRTC  -1
P252612669,07-01-2026,RAMANJANEYYA  PRO STORE,1532,KOTRESH,KSRTC  -1
P252612670,07-01-2026,BASAVESAHWARA PR ST,726,KOTRESH,KSRTC  -1
P252612671,07-01-2026,VASAVI STORE,910,KOTRESH,KSRTC  -1
P252612672,07-01-2026,INDIA N BAKERY,1304,KOTRESH,KSRTC  -1
P252612693,08-01-2026,SRI GAVI RANGANTHA PRO STORE,3169,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612694,08-01-2026,UTSAVAMBA PR ST,1558,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612695,08-01-2026,MANJUNATHA  P/S,581,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612696,08-01-2026,VAJRANTHREE PRO STORES,758,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612697,08-01-2026,QUALITY CAKE CORNER,1780,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612698,08-01-2026,ANIKA P/S,1569,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612699,08-01-2026,DURGAMBIKA PR ST,1027,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612700,08-01-2026,SRI SAI VENKATESHWARA GEN ST,2276,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612701,08-01-2026,SRI RANAGANTHA PRO STORE,1250,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612702,08-01-2026,HULIGEMMA PRO STORE,2633,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612703,08-01-2026,ARPITHA PRO STORES,2160,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612704,08-01-2026,SHWETHA PRO STORE,225,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612705,08-01-2026,BANASHAKARI 2,557,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612706,08-01-2026,YOGESH PRO STORE,966,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612707,08-01-2026,VIRUPAKSHA P/S NEAR KUMAR P/S,1166,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612708,08-01-2026,SRI BHAGAVAN PRO ST,1646,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612709,08-01-2026,ANNAPOORNESHWARI P/S,1532,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612710,08-01-2026,JANAKI P/S,1613,KOTRESH,KSRTC   SR BADAVANE  MANIKANTA  CIRCLE 
P252612736,09-01-2026,A 1 Quality Foods,2339,KOTRESH,ANJENEYA  LAY OUT
P252612737,09-01-2026,VISHWABANDHU PR ST ANJANEYA EXTN,519,KOTRESH,ANJENEYA  LAY OUT
P252612738,09-01-2026,VEERU P/S,937,KOTRESH,ANJENEYA  LAY OUT
P252612739,09-01-2026,NANDINI MILK PARLOUR,1583,KOTRESH,ANJENEYA  LAY OUT
P252612740,09-01-2026,SHIVA BEEDA STALL,1031,KOTRESH,ANJENEYA  LAY OUT
P252612741,09-01-2026,Ranga super market,1170,KOTRESH,ANJENEYA  LAY OUT
P252612742,09-01-2026,VIJAY BAKERY,2267,KOTRESH,ANJENEYA  LAY OUT
P252612743,09-01-2026,MALTHESH BEEDA STALL,479,KOTRESH,ANJENEYA  LAY OUT
P252612744,09-01-2026,Student shop,982,KOTRESH,ANJENEYA  LAY OUT
P252612745,09-01-2026,FOOD MART (G),14779,KOTRESH,ANJENEYA  LAY OUT
P252612746,09-01-2026,ASIF TEA STALL,372,KOTRESH,ANJENEYA  LAY OUT
P252612790,11-01-2026,AMARESHWARA STORE,2005,KOTRESH,RAMANAGAR 
P252612791,11-01-2026,JAGADISH PRO STORE,1463,KOTRESH,RAMANAGAR 
P252612792,11-01-2026,SRI NANDHI STORE,1151,KOTRESH,RAMANAGAR 
P252612793,11-01-2026,SRI PATTADA KALLU BASAVESHWARA STORE,914,KOTRESH,RAMANAGAR 
P252612794,11-01-2026,Raghavendra P/S,849,KOTRESH,RAMANAGAR 
P252612795,11-01-2026,HULIGI CAKE PALACE,1055,KOTRESH,RAMANAGAR 
P252612796,11-01-2026,Banasri Product  P/S,5162,KOTRESH,RAMANAGAR 
P252612797,11-01-2026,Dodna Thimappa G/S,951,KOTRESH,RAMANAGAR 
P252612798,11-01-2026,SRI  GURU  KOTTURESHWARA  P/S,672,KOTRESH,RAMANAGAR 
P252612799,11-01-2026,S M L PRO STORE,807,KOTRESH,RAMANAGAR 
P252612800,11-01-2026,KANAKA PRO STORE,695,KOTRESH,RAMANAGAR 
P252612801,11-01-2026,RAVI  P/S,947,KOTRESH,RAMANAGAR 
P252612878,12-01-2026,CYNDRILA  CHOCOLATE,2425,KOTRESH,VIDHYA  NAGAR 
P252612879,12-01-2026,ESHWAR PROV STORES,1377,KOTRESH,VIDHYA  NAGAR 
P252612880,12-01-2026,SRI RENUKA P/S,1714,KOTRESH,VIDHYA  NAGAR 
P252612881,12-01-2026,VINAYAKA XEROX,95,KOTRESH,VIDHYA  NAGAR 
P252612882,12-01-2026,LAXMI PROVISION STORE,2275,KOTRESH,VIDHYA  NAGAR 
P252612883,12-01-2026,DAYANANDA STORES,1651,KOTRESH,VIDHYA  NAGAR 
P252612884,12-01-2026,Mani Vegetable,3578,KOTRESH,VIDHYA  NAGAR 
P252612885,12-01-2026,coffee katte,2515,KOTRESH,VIDHYA  NAGAR 
P252612886,12-01-2026,A TO Z PROVISION STORES,518,KOTRESH,VIDHYA  NAGAR 
P252612887,12-01-2026,NIHAR JUICE CENTER,1087,KOTRESH,VIDHYA  NAGAR 
P252612888,12-01-2026,MARULASIDDESHWARA P S,738,KOTRESH,VIDHYA  NAGAR 
P252612889,12-01-2026,M  S  STORE,215,KOTRESH,VIDHYA  NAGAR 
P252612890,12-01-2026,SIDDESHWARA PRO ST,286,KOTRESH,VIDHYA  NAGAR 
P252612891,12-01-2026,Jai Jawan Jai Kisan Mega Mart,2052,KOTRESH,VIDHYA  NAGAR 
P252612892,12-01-2026,PRAKASH PROV STORE,582,KOTRESH,VIDHYA  NAGAR 
P252612893,12-01-2026,ANJANEYA P S,2120,KOTRESH,VIDHYA  NAGAR 
P252612894,12-01-2026,SRI RANGA PROV ST DENTAL ROAD,696,KOTRESH,VIDHYA  NAGAR 
P252612895,12-01-2026,SRI KALLESHWARA PROVISION STORE,1518,KOTRESH,VIDHYA  NAGAR 
P252612919,13-01-2026,SANGAMESHWARA STORE,342,KOTRESH,KTJ  NAGAR 
P252612920,13-01-2026,MANJUNATHA ST KTJ,734,KOTRESH,KTJ  NAGAR 
P252612921,13-01-2026,VIVEK P/S NEAR KIRAN P/S I MAIN,681,KOTRESH,KTJ  NAGAR 
P252612922,13-01-2026,THIRUMALA PR ST NEAR SOUNDARYA,215,KOTRESH,KTJ  NAGAR 
P252612923,13-01-2026,RAJU GENARAL STORES,1118,KOTRESH,KTJ  NAGAR 
P252612924,13-01-2026,SIDDALINGESHWARA PR ST,204,KOTRESH,KTJ  NAGAR 
P252612925,13-01-2026,SRINIVAS  P/S,1297,KOTRESH,KTJ  NAGAR 
P252612926,13-01-2026,YADUPATI P S,1671,KOTRESH,KTJ  NAGAR 
P252612927,13-01-2026,H. R. PAKRUDDIN VEGETEBLE,566,KOTRESH,KTJ  NAGAR 
P252612928,13-01-2026,RANGANATHA PRO STORE,726,KOTRESH,KTJ  NAGAR 
P252612929,13-01-2026,SHANKAR PRO STORE,478,KOTRESH,KTJ  NAGAR 
P252612930,13-01-2026,poojar .p/s,1762,KOTRESH,KTJ  NAGAR 
P252612931,13-01-2026,HULIKAL VEERABHADRESHARA STORE,703,KOTRESH,KTJ  NAGAR 
