Bill Number,Bill Date,Retailer Name,Bill Amount,Salesman,Beat Name
P252612647,07-01-2026,S. M. GOODY FOODS,2913,Nagaraj B,BUDAL  ROAD
P252612648,07-01-2026,STAR BUTTI TRADING CO.,2010,Nagaraj B,BUDAL  ROAD
P252612649,07-01-2026,ALL RAYA SUPER MARKET,878,Nagaraj B,BUDAL  ROAD
P252612650,07-01-2026,VENKATESHWARA CONDIMENTS,583,Nagaraj B,BUDAL  ROAD
P252612651,07-01-2026,MALLIKARJUNA  P/S,1584,Nagaraj B,BUDAL  ROAD
P252612673,07-01-2026,BHARATHI  PRO  STORE,870,Nagaraj B,BUDAL  ROAD
P252612711,08-01-2026,GURU BASAVESHWARA P S,1110,Nagaraj B,HONDAD  ROAD
P252612712,08-01-2026,RANGANATH ST NEAR NOORANI MASJID,1143,Nagaraj B,HONDAD  ROAD
P252612713,08-01-2026,S M  PRO  STORE,1049,Nagaraj B,
P252612714,08-01-2026,RUDRESH PRIVISION STORE,943,Nagaraj B,HONDAD  ROAD
P252612747,09-01-2026,CHAWDESHWARI P/S(OPP-Ayappa temple),1762,Nagaraj B,HONDAD  ROAD
P252612748,09-01-2026,NANDHINI ICE CREAM,1078,Nagaraj B,HONDAD  ROAD
P252612749,09-01-2026,E P P/S  D A LAYOUT,1236,Nagaraj B,HONDAD  ROAD
P252612750,09-01-2026,NANDINI MILK PARLUR,1479,Nagaraj B,HONDAD  ROAD
P252612751,09-01-2026,LAXMANA P S TEACHER COLONY,503,Nagaraj B,HONDAD  ROAD
P252612752,09-01-2026,VEERABHADRESHWARA  P/S (2),1155,Nagaraj B,HONDAD  ROAD
P252612753,09-01-2026,KOTTURESHWARA PR ST SIDDESH,1149,Nagaraj B,HONDAD  ROAD
P252612754,09-01-2026,GANESH TEA STALL,321,Nagaraj B,HONDAD  ROAD
P252612755,09-01-2026,RENUKA XEROX,1651,Nagaraj B,HONDAD  ROAD
P252612756,09-01-2026,MANJUNATHA P/S (9900757734),747,Nagaraj B,HONDAD  ROAD
P252612770,10-01-2026,H N THIPPESWAMY,237,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612802,11-01-2026,BHAVANI PRO STORE,201,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612803,11-01-2026,MANJUNATHA P/S 2 ND,722,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612804,11-01-2026,BHAVANI PRO STORE,775,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612805,11-01-2026,VEERABADRESHWARA PRO STORE,1532,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612806,11-01-2026,VINYA P/S,1349,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612807,11-01-2026,AMBA BHAVANI P S (9741423873),1426,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612808,11-01-2026,KANAKA P/S,676,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612809,11-01-2026,PRATHAM Provision Store,1466,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612810,11-01-2026,RAGHAVENDRA  P/S (8892831235),2180,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612811,11-01-2026,K R MANJUNATHA P S,925,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612812,11-01-2026,SUMA PRO STORE,682,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612813,11-01-2026,SHANTHALA P/S,2228,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612814,11-01-2026,SRI GURU KOTTRESHWARA P/ S,1392,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612815,11-01-2026,MOUSAM G/S,1912,Nagaraj B,MANDIPETE /  KALIKADEVI  ROAD
P252612860,12-01-2026,RAJAK SAB STORE NEAR SAIFULLA,965,Nagaraj B,K  R  ROAD
P252612861,12-01-2026,NEW GAJANAN STORE,266,Nagaraj B,K  R  ROAD
P252612862,12-01-2026,MAISARHA TRADERS,726,Nagaraj B,K  R  ROAD
P252612863,12-01-2026,STAR GENERAL STORE,8609,Nagaraj B,K  R  ROAD
P252612864,12-01-2026,MUNNA STORE,567,Nagaraj B,K  R  ROAD
P252612865,12-01-2026,Jai Hind Food Lan,729,Nagaraj B,K  R  ROAD
P252612866,12-01-2026,DADAPEER  BHASHA,8400,Nagaraj B,K  R  ROAD
P252612867,12-01-2026,MAHAAMD ALU BEEDA STAAL,1042,Nagaraj B,K  R  ROAD
P252612868,12-01-2026,B M G STORE,539,Nagaraj B,K  R  ROAD
P252612869,12-01-2026,B S ZIYULLA P S,1432,Nagaraj B,K  R  ROAD
P252612870,12-01-2026,MEHABOOB BHASHA OPP B S SADIQ,2454,Nagaraj B,K  R  ROAD
P252612871,12-01-2026,A  M  TRADERS,10793,Nagaraj B,K  R  ROAD
P252612872,12-01-2026,B S LATHEEF P S,752,Nagaraj B,K  R  ROAD
P252612873,12-01-2026,DADAPEER STORES,713,Nagaraj B,K  R  ROAD
P252612874,12-01-2026,CAKE AND SWEETA,2245,Nagaraj B,K  R  ROAD
P252612875,12-01-2026,S. C. P. STORE,1737,Nagaraj B,K  R  ROAD
P252612876,12-01-2026,K2B BAKERY,757,Nagaraj B,K  R  ROAD
P252612877,12-01-2026,NANDINI MILK PORLER,4277,Nagaraj B,K  R  ROAD
P252612896,12-01-2026,A  M  TRADERS,22400,Nagaraj B,K  R  ROAD
P252612932,13-01-2026,DADAPER BASHA  2,42936,Nagaraj B,HONDAD  ROAD
P252612933,13-01-2026,G S CHANNABASAPPA PR ST,429,Nagaraj B,HONDAD  ROAD
P252612934,13-01-2026,NAGARAJ PR ST,335,Nagaraj B,HONDAD  ROAD
P252612935,13-01-2026,SARVASHAKTI P S (9845863475),174,Nagaraj B,HONDAD  ROAD
P252612936,13-01-2026,NOORI PRO STORE,1412,Nagaraj B,HONDAD  ROAD
P252612937,13-01-2026,BASAVESHWARA  P/S,749,Nagaraj B,HONDAD  ROAD
P252612938,13-01-2026,POORNIMA BEK,664,Nagaraj B,HONDAD  ROAD
P252612939,13-01-2026,THE  CAKE  POINT,335,Nagaraj B,HONDAD  ROAD
P252612940,13-01-2026,THIPPESWAMY PR ST(G),3515,Nagaraj B,HONDAD  ROAD
P252612941,13-01-2026,SACHIN PRO STORES,553,Nagaraj B,HONDAD  ROAD
P252612942,13-01-2026,S GOWDRU STORE,680,Nagaraj B,HONDAD  ROAD
